date,B00B5I4BYM,B00B5I4ECQ,B00B5I4HU0,B00B5I4JSA,B013EW28WS,B01MF6AHC2,B078HGFP2L,B078HHB48B,B078HRLXZ5,B079X656ZN,average
2020-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03,1.0,1.0,1.0,1.0,1.0,0.9384087237479806,1.0,0.9121459433509362,1.0,1.0,0.9850554667098917
2020-01-04,1.0,1.0,1.0,1.0,1.0,0.9384087237479806,1.0,0.8767402784445512,1.0,1.0,0.981514900219253
2020-01-05,1.0,1.0,1.0,1.0,1.0,0.9384087237479806,1.0,0.825672107537206,1.0,1.0,0.9764080831285187
2020-01-06,1.0,1.0,0.8998664886515354,1.0,1.0,0.9384087237479806,1.0,0.774363898223716,1.0,1.0,0.9612639110623231
2020-01-07,1.0,1.0,0.8998664886515354,1.0,1.0,0.9384087237479806,1.0,0.7327172347575612,1.0,1.0,0.9570992447157078
2020-01-08,1.0,1.0,0.8998664886515354,1.0,1.0,0.9384087237479806,1.0,1.0360057609217475,1.0,1.0,0.9874280973321262
2020-01-09,1.0,1.0,0.8998664886515354,1.0,1.0,0.9384087237479806,1.0,1.0360057609217475,1.0,1.0,0.9874280973321262
2020-01-10,1.0,1.0,0.8998664886515354,1.0,1.0,0.9384087237479806,1.0,1.035885741718675,1.0,1.0,0.9874160954118192
2020-01-11,1.0,1.0,0.8998664886515354,1.0,1.0,0.9384087237479806,1.0,1.0357657225156025,1.0,1.0,0.9874040934915118
2020-01-12,1.0,1.0,0.8998664886515354,1.0,1.0,0.9384087237479806,1.0,0.9840374459913587,1.0,1.0,0.9822312658390875
2020-01-13,1.0,1.0,0.8998664886515354,1.0,1.0,0.9384087237479806,1.0,0.9840374459913587,1.0,1.0,0.9822312658390875
2020-01-14,1.0,1.0,0.8998664886515354,1.0,1.0,0.9384087237479806,1.0,0.9807969275084014,1.0,1.0,0.9819072139907916
2020-01-15,1.0,1.0,0.8998664886515354,1.0,1.0,0.9384087237479806,1.0,1.0509481517042727,1.0,1.0,0.9889223364103789
2020-01-16,1.0,1.0,0.8998664886515354,1.0,1.0,0.9384087237479806,1.0,1.0463274123859818,1.0,1.0,0.9884602624785497
2020-01-17,1.0,1.0,0.8998664886515354,1.0,1.0,0.9965670436187398,1.0,1.0463274123859818,1.0,1.0,0.9942760944656257
2020-01-18,1.0,1.0,0.8998664886515354,1.0,1.0,0.9965670436187398,1.0,1.0447671627460393,1.0,1.0,0.9941200695016313
2020-01-19,1.0,1.0,0.8998664886515354,1.0,1.0,0.9965670436187398,1.0,1.044407105136822,1.0,1.0,0.9940840637407098
2020-01-20,1.0,1.0,0.8998664886515354,1.0,1.0,0.9965670436187398,1.0,0.9963994239078253,1.0,1.0,0.98928329561781
2020-01-21,1.0,1.0,0.8998664886515354,1.0,1.0,0.9965670436187398,1.0,0.9465914546327414,1.0,1.0,0.9843024986903016
2020-01-22,1.0,1.0,0.8998664886515354,1.0,1.0,0.9965670436187398,1.0,1.0147623619779165,1.0,1.0,0.9911195894248191
2020-01-23,1.0,1.0,0.8998664886515354,1.0,1.0,0.9965670436187398,1.0,1.0147623619779165,1.0,1.0,0.9911195894248191
2020-01-24,1.0,1.0,0.8998664886515354,1.0,1.0,0.9965670436187398,1.0,1.0150024003840614,1.0,1.0,0.9911435932654337
2020-01-25,1.0,1.0,1.0,1.0,1.0,0.9965670436187398,1.0,1.0150024003840614,1.0,1.0,1.0011569444002801
2020-01-26,1.0,1.0,1.0,1.0,1.0,0.9965670436187398,1.0,1.0077412385981759,1.0,1.0,1.0004308282216914
2020-01-27,1.0,1.0,1.0,1.0,1.0,0.9965670436187398,1.0,0.9993999039846376,1.0,1.0,0.9995966947603379
2020-01-28,1.0,1.0,1.0,1.0,1.0,0.9965670436187398,1.2391581632653061,0.9494719155064811,1.0,1.0,1.0185197122390526
2020-01-29,1.0,1.0,1.0,1.0,1.0,0.9965670436187398,1.2391581632653061,1.1796687469995202,1.0,1.0,1.0415393953883565
2020-01-30,1.0,1.0,1.0,1.0,1.0,0.9965670436187398,1.2391581632653061,1.1649063850216035,1.0,1.0,1.040063159190565
2020-01-31,1.0,1.0,1.0,1.0,1.0,0.9965670436187398,1.2391581632653061,1.2935669707153146,1.0,1.0,1.0529292177599359
2020-02-01,1.0,1.0,1.0,1.0,1.0,0.9965670436187398,1.2391581632653061,1.2855256841094576,1.0,1.0,1.0521250890993503
2020-02-02,1.0,1.0,1.0,1.0,1.0,0.7972536348949918,0.8000637755102041,1.3292126740278445,0.8,1.0,0.972653008443304
2020-02-03,1.0,1.0,1.0,1.0,1.0,0.7972536348949918,0.8000637755102041,1.3292126740278445,0.8,1.0,0.972653008443304
2020-02-04,1.0,1.0,1.0,1.0,1.0,0.7972536348949918,0.8000637755102041,1.3292126740278445,0.8,1.0,0.972653008443304
2020-02-05,1.0,1.0,1.0,1.0,1.0,0.7972536348949918,0.8000637755102041,1.3292126740278445,0.8,1.0,0.972653008443304
2020-02-06,1.0,1.0,1.0,1.0,1.0,0.7972536348949918,0.8000637755102041,1.3292126740278445,0.8,1.0,0.972653008443304
2020-02-07,1.0,1.0,1.0,1.0,1.0,0.7972536348949918,0.8000637755102041,1.3292126740278445,0.8,1.0,0.972653008443304
2020-02-08,1.0,1.0,1.0,1.0,1.0,0.7972536348949918,0.8000637755102041,1.3292126740278445,0.8,1.0,0.972653008443304
2020-02-09,0.82,1.0,1.0,1.0,1.0,0.7972536348949918,0.8000637755102041,1.3292126740278445,0.8,1.0,0.954653008443304
2020-02-10,0.82,1.0,0.7800029669188547,1.0,1.0,0.7972536348949918,0.8000637755102041,1.3292126740278445,0.8,1.0,0.9326533051351895
2020-02-11,0.82,1.0,0.7800029669188547,0.7999335879130002,1.0,0.7972536348949918,0.8000637755102041,1.3292126740278445,0.8,1.0,0.9126466639264896
2020-02-12,0.82,0.8200698080279233,0.7800029669188547,0.7999335879130002,1.0,0.7972536348949918,0.8000637755102041,1.3292126740278445,0.8,1.0,0.8946536447292818
2020-02-13,0.82,0.8200698080279233,0.7800029669188547,0.7999335879130002,1.0,0.7972536348949918,0.8000637755102041,1.4381901104176669,0.8,1.0,0.9055513883682641
2020-02-14,0.82,0.8200698080279233,0.7800029669188547,0.7999335879130002,1.0,0.7972536348949918,0.8000637755102041,1.4381901104176669,0.8,1.0,0.9055513883682641
2020-02-15,0.82,0.8200698080279233,0.7800029669188547,0.7999335879130002,1.0,0.7972536348949918,0.8000637755102041,1.4381901104176669,0.8,1.0,0.9055513883682641
2020-02-16,0.82,0.8200698080279233,0.7800029669188547,0.7999335879130002,1.0,0.7972536348949918,0.8000637755102041,1.4381901104176669,0.8,1.0,0.9055513883682641
2020-02-17,0.82,0.8200698080279233,1.0,0.7999335879130002,1.0,0.7972536348949918,0.8000637755102041,1.3799807969275086,0.8,1.0,0.9217301603273629
2020-02-18,0.82,0.8200698080279233,1.0,0.7999335879130002,1.0,0.7972536348949918,0.8000637755102041,1.3208113298127702,0.8,1.0,0.9158132136158891
2020-02-19,0.82,0.8200698080279233,1.0,0.7999335879130002,1.0,0.7972536348949918,0.8000637755102041,1.3208113298127702,0.8,1.0,0.9158132136158891
2020-02-20,0.82,0.8200698080279233,1.0,0.7999335879130002,1.0,0.7972536348949918,0.8000637755102041,1.3247719635141624,0.8,1.0,0.9162092769860284
2020-02-21,0.82,0.8200698080279233,1.0,0.7999335879130002,1.0,0.7972536348949918,0.8000637755102041,1.3247719635141624,0.8,1.0,0.9162092769860284
2020-02-22,0.82,0.8200698080279233,1.0,0.7999335879130002,1.0,0.7972536348949918,0.8000637755102041,1.3247719635141624,0.8,1.0,0.9162092769860284
2020-02-23,1.0,0.8200698080279233,1.0,0.7999335879130002,1.0,0.8323909531502423,1.6894132653061225,1.3247719635141624,1.0,1.0,1.0466579577911452
2020-02-24,1.0,0.8200698080279233,1.0,0.7999335879130002,1.0,1.04109450726979,1.6894132653061225,1.3292126740278445,1.0,1.0,1.067972384254468
2020-02-25,1.0,0.8200698080279233,1.0,0.7999335879130002,1.0,1.2415185783521807,1.6894132653061225,1.3292126740278445,1.0,1.0,1.0880147913627072
2020-02-26,1.0,0.8200698080279233,1.0,0.7999335879130002,1.0,1.217639337641357,1.2391581632653061,1.3292126740278445,1.0,1.0,1.040601357087543
2020-02-27,1.0,0.8200698080279233,1.0,0.7999335879130002,1.0,1.2164781906300484,1.2391581632653061,1.4366298607777246,1.0,1.0,1.0512269610614002
2020-02-28,1.0,0.8200698080279233,1.0,0.7999335879130002,1.0,1.2164781906300484,1.2391581632653061,1.4366298607777246,1.0,1.0,1.0512269610614002
2020-02-29,1.0,1.0,1.0,0.7999335879130002,1.0,1.2081179321486268,1.2391581632653061,1.4366298607777246,1.0,1.0,1.0683839544104656
2020-03-01,1.0,1.0,1.0,0.7999335879130002,1.0,0.9603796445880451,1.4642857142857144,1.4366298607777246,1.0,1.0,1.0661228807564485
2020-03-02,1.0,1.0,1.0,0.7999335879130002,1.0,0.902059773828756,1.6253188775510203,1.4366298607777246,1.0,1.0,1.07639421000705
2020-03-03,1.0,1.0,1.0,0.7999335879130002,1.0,0.9265953150242325,1.6194727891156464,1.4366298607777246,1.0,1.0,1.0782631552830604
2020-03-04,1.0,1.0,1.0,0.7999335879130002,1.0,0.9219507269789984,1.607780612244898,1.4366298607777246,1.0,1.0,1.076629478791462
2020-03-05,1.0,1.0,1.0,0.7999335879130002,1.0,0.8927705977382875,1.607780612244898,1.4366298607777246,1.0,1.0,1.073711465867391
2020-03-06,1.0,1.0,1.0,1.1622115224970946,1.0,0.8927705977382875,1.5966198979591837,1.4366298607777246,1.0,1.0,1.108823187897229
2020-03-07,1.0,1.0,1.0,1.1622115224970946,1.0,0.8936793214862682,1.5966198979591837,1.4366298607777246,1.0,1.0,1.108914060272027
2020-03-08,1.0,1.0,1.0,1.1622115224970946,1.0,0.8936793214862682,1.5950255102040818,1.4366298607777246,1.0,1.0,1.108754621496517
2020-03-09,1.0,1.0,1.0,1.1622115224970946,1.0,0.8936793214862682,1.5950255102040818,1.4366298607777246,1.0,1.0,1.108754621496517
2020-03-10,1.0,1.0,1.0,1.1622115224970946,1.0,0.8945880452342487,1.5950255102040818,1.4366298607777246,1.0,1.0,1.108845493871315
2020-03-11,1.0,1.0,1.0,1.1622115224970946,1.0,0.8945880452342487,1.5950255102040818,1.4366298607777246,1.0,1.0,1.108845493871315
2020-03-12,1.0,1.0,1.0,1.1622115224970946,1.0,1.1001615508885298,1.5966198979591837,1.4366298607777246,1.0,1.0,1.1295622832122532
2020-03-13,1.0,1.0,1.0,1.1622115224970946,1.0,1.0102988691437802,1.607780612244898,1.4366298607777246,1.0,1.0,1.1216920864663498
2020-03-14,1.0,1.0,1.0,1.1622115224970946,1.0,1.0102988691437802,1.607780612244898,1.4366298607777246,1.0,1.0,1.1216920864663498
2020-03-15,1.0,1.0,1.0,1.1622115224970946,1.0,1.0102988691437802,1.607780612244898,1.4366298607777246,1.0,1.0,1.1216920864663498
2020-03-16,1.0,1.0,1.0,1.1622115224970946,1.0,1.0102988691437802,1.607780612244898,1.4366298607777246,1.0,1.0,1.1216920864663498
2020-03-17,1.0,1.0,1.0,1.1622115224970946,1.0,1.1001615508885298,1.607780612244898,1.4366298607777246,1.0,1.0,1.1306783546408248
2020-03-18,1.1073846153846154,1.0,1.0,1.1622115224970946,1.0,1.1001615508885298,1.607780612244898,1.4366298607777246,1.0,1.0,1.1414168161792861
2020-03-19,1.1073846153846154,1.0,1.0,1.1622115224970946,1.0,1.1001615508885298,1.607780612244898,1.4366298607777246,1.0,1.0,1.1414168161792861
2020-03-20,1.1073846153846154,1.0,1.0,1.1622115224970946,1.0,1.1001615508885298,1.6307397959183674,1.4366298607777246,1.0,1.0,1.1437127345466331
2020-03-21,1.1073846153846154,1.0,1.0,1.1622115224970946,1.0,1.1001615508885298,1.6173469387755102,1.4366298607777246,1.0,1.0,1.1423734488323474
2020-03-22,1.1073846153846154,1.0,1.0,1.1622115224970946,1.0,1.1001615508885298,1.6254783163265307,1.4366298607777246,1.0,1.0,1.1431865865874493
2020-03-23,1.1073846153846154,1.0,1.0,1.1622115224970946,0.9999999999999999,1.1001615508885298,1.4325573979591837,1.4366298607777246,1.0,1.0,1.1238944947507146
2020-03-24,1.0,1.0,1.0,1.1622115224970946,0.9999999999999999,1.1001615508885298,1.2391581632653061,1.4366298607777246,1.0,1.0,1.0938161097428654
2020-03-25,1.0,1.0,1.0,1.1622115224970946,0.9999999999999999,1.1001615508885298,1.2391581632653061,1.4366298607777246,1.0,1.0,1.0938161097428654
2020-03-26,1.0,1.0,1.0,1.1622115224970946,0.9999999999999999,1.1001615508885298,1.2391581632653061,1.4366298607777246,1.0,1.0,1.0938161097428654
2020-03-27,1.0,1.0,1.0,1.1622115224970946,0.9999999999999999,1.1001615508885298,1.2391581632653061,1.4366298607777246,1.0,1.0,1.0938161097428654
2020-03-28,1.0,1.0,1.0,1.1622115224970946,0.9999999999999999,1.1001615508885298,1.2391581632653061,1.4366298607777246,1.0,1.0,1.0938161097428654
2020-03-29,1.0,1.0,1.0,1.1622115224970946,0.9999999999999999,1.1001615508885298,1.2391581632653061,1.4366298607777246,1.0,1.0,1.0938161097428654
2020-03-30,1.0,1.0,1.0,1.1622115224970946,0.9999999999999999,1.1001615508885298,1.2391581632653061,1.4366298607777246,1.0,1.0,1.0938161097428654
2020-03-31,1.0,1.0,1.0,1.1622115224970946,1.0,1.1001615508885298,1.2391581632653061,1.4366298607777246,1.0,1.0,1.0938161097428654
2020-04-01,0.9292307692307692,1.0,0.8678237650200268,1.1622115224970946,0.642795513373598,0.7139539579967689,1.1737882653061225,1.4366298607777246,1.0,1.0,0.9926433654202105
2020-04-02,0.9646153846153847,1.0,0.869158878504673,1.1622115224970946,0.642795513373598,0.7126413570274636,1.1651785714285714,1.4366298607777246,1.0,1.0,0.9953231088224509
2020-04-03,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6220880069025022,0.7126413570274636,1.1651785714285714,1.4366298607777246,1.0,1.0,1.006336470324874
2020-04-04,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6238136324417601,0.7102180936995154,1.1167091836734695,1.4366298607777246,1.0,1.0,1.001419767770495
2020-04-05,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6238136324417601,0.7102180936995154,1.1167091836734695,1.4366298607777246,1.0,1.0,1.001419767770495
2020-04-06,0.9646153846153847,1.0,1.0,1.1622115224970946,0.633304572907679,0.7059773828756057,1.1141581632653061,1.4366298607777246,1.0,1.0,1.0016896886938795
2020-04-07,0.9646153846153847,1.0,1.0,1.1622115224970946,0.633304572907679,0.7059773828756057,1.1141581632653061,1.4366298607777246,1.0,1.0,1.0016896886938795
2020-04-08,0.9646153846153847,1.0,1.0,1.1622115224970946,0.633304572907679,0.7053715670436187,1.1096938775510203,1.4366298607777246,1.0,1.0,1.0011826785392521
2020-04-09,0.9646153846153847,1.0,1.0,1.1622115224970946,0.633304572907679,0.7053715670436187,1.1096938775510203,1.4366298607777246,1.0,1.0,1.0011826785392521
2020-04-10,0.9646153846153847,1.0,1.0,1.1622115224970946,0.633304572907679,0.7053715670436187,1.1096938775510203,1.4366298607777246,1.0,1.0,1.0011826785392521
2020-04-11,0.9646153846153847,1.0,1.0,1.1622115224970946,0.633304572907679,0.7053715670436187,1.086734693877551,1.4366298607777246,1.0,1.0,0.9988867601719053
2020-04-12,0.9646153846153847,1.0,1.0,1.1622115224970946,0.633304572907679,0.7053715670436187,1.086734693877551,0.9043446951512242,1.0,1.0,0.9456582436092551
2020-04-13,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7053715670436187,1.086734693877551,0.9043446951512242,1.0,1.0,0.9477289942563647
2020-04-14,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7047657512116315,1.086734693877551,0.9043446951512242,1.0,1.0,0.947668412673166
2020-04-15,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7047657512116315,1.086734693877551,0.9043446951512242,1.0,1.0,0.947668412673166
2020-04-16,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7047657512116315,1.086734693877551,0.9043446951512242,1.0,1.0,0.947668412673166
2020-04-17,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7047657512116315,1.086734693877551,0.9043446951512242,0.6191836734693877,1.0,0.9095867800201048
2020-04-18,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7047657512116315,1.086734693877551,0.9043446951512242,0.6191836734693877,1.0,0.9095867800201048
2020-04-19,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7047657512116315,1.086734693877551,0.9043446951512242,0.6191836734693877,1.0,0.9095867800201048
2020-04-20,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6191836734693877,1.0,0.9118282985984569
2020-04-21,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6191836734693877,1.0,0.9118282985984569
2020-04-22,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6191836734693877,1.0,0.9118282985984569
2020-04-23,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6191836734693877,1.0,0.9118282985984569
2020-04-24,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6191836734693877,1.0,0.9118282985984569
2020-04-25,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6191836734693877,1.0,0.9118282985984569
2020-04-26,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6191836734693877,1.0,0.9118282985984569
2020-04-27,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6191836734693877,1.0,0.9118282985984569
2020-04-28,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6191836734693877,1.0,0.9118282985984569
2020-04-29,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6191836734693877,1.0,0.9118282985984569
2020-04-30,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6191836734693877,1.0,0.9118282985984569
2020-05-01,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6191836734693877,1.0,0.9118282985984569
2020-05-02,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6191836734693877,1.0,0.9118282985984569
2020-05-03,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6257142857142857,0.48562300319488816,0.8610436601424356
2020-05-04,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6257142857142857,0.48562300319488816,0.8610436601424356
2020-05-05,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6257142857142857,0.48562300319488816,0.8610436601424356
2020-05-06,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6257142857142857,0.48562300319488816,0.8610436601424356
2020-05-07,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6257142857142857,0.48562300319488816,0.8610436601424356
2020-05-08,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6257142857142857,0.48562300319488816,0.8610436601424356
2020-05-09,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.9043446951512242,0.6257142857142857,0.48562300319488816,0.8610436601424356
2020-05-10,0.9646153846153847,1.0,1.0,1.1622115224970946,0.6540120793787748,0.7271809369951534,1.086734693877551,0.89594335093615,0.6257142857142857,0.48562300319488816,0.8602035257209282
