date,B084TQKLCC,B08563P4NS,B0856XZJLH,B0859RSTXN,B0859S7T1T,B085CM549X,B085G4J52J,B085RKVJRM,B0868YY9MW,B086C688Y5,B086DT2387,B086MPXGKJ
11/26/2017,,,,,,,,,,,,
2/15/2020,,,,,,,,,,,,
2/16/2020,,,,,,,,,,,,
2/17/2020,,,,,,,,,,,,
2/18/2020,,,,,,,,,,,,
2/19/2020,,,,,,,,,,,,
2/20/2020,,,,,,,,,,,,
2/21/2020,,,,,,,,,,,,
2/22/2020,,,,,,,,,,,,
2/23/2020,,,,,,,,,,,,
2/24/2020,,,,,,,,,,,,
2/25/2020,,,,,,,,,,,,
2/26/2020,,,,,,,,,,,,
2/27/2020,,,,,,,,,,,,
2/28/2020,,,,,,,,,,,,
2/29/2020,,,,,,,,,,,,
3/1/2020,,,,,,,,,,,,
3/2/2020,,,,,,,,,,,,
3/3/2020,,,,,,,,,,,,
3/4/2020,,,,,,,,,,,,
3/5/2020,,,,,,,,,,,,
3/6/2020,,,,,,,,,,,,
3/7/2020,,,,,,,,,,,,
3/8/2020,,,,,,,,,,,,
3/9/2020,,,,,,,,,,,,
3/10/2020,59.9,,,,,,,,,,,
3/11/2020,59.9,,,,,,,,,,,
3/12/2020,59.9,,,,,,,,,,,
3/13/2020,59.9,,,,,,,,,,,
3/14/2020,59.9,,,,,,,,,,,
3/15/2020,59.9,,,,,,,,,,,
3/16/2020,59.9,,,,,,,,,,,
3/17/2020,59.9,,,,,,,,,,,
3/18/2020,59.9,,,,,,,,,,,
3/19/2020,59.9,,,,,,,,,,,
3/20/2020,59.9,,,,,,,,,,,
3/21/2020,59.9,,,,,,,,,,,
3/22/2020,59.9,,,,,,,,,,,
3/23/2020,59.9,,,,,,,,,,,
3/24/2020,59.9,,,,,,,,,,,
3/25/2020,59.9,,,,,,,,,,,
3/26/2020,59.9,,,,,,,,,,,
3/27/2020,59.9,,,,,,,45,,,,
3/28/2020,59.9,,,,,,,45,,,,
3/29/2020,59.9,,,,,,,45,,,,
3/30/2020,59.9,,,,,,,45,,,,
3/31/2020,59.9,17.56,,,65.99,,,45,,,,
4/1/2020,59.9,17.56,,,65.99,,,45,,,,
4/2/2020,59.9,17.56,,,65.99,,,45,,,,
4/3/2020,59.9,17.56,,,65.99,,,45,,,,
4/4/2020,59.9,17.56,,,65.99,,,45,,,,
4/5/2020,59.9,17.56,,,65.99,,,45,,,,
4/6/2020,59.9,17.56,,,65.99,,,45,,,,
4/7/2020,59.9,17.56,,,65.99,,,45,,,,
4/8/2020,59.9,17.56,,,65.99,,,45,,,,
4/9/2020,59.9,17.56,,,65.99,,,45,,,,
4/10/2020,59.9,17.56,,,65.99,,,45,,,,
4/11/2020,59.9,17.56,,,65.99,,,45,,,,
4/12/2020,59.9,17.56,,,65.99,,,45,,,,
4/13/2020,59.9,17.56,,,65.99,,,45,,,,
4/14/2020,59.9,17.56,,,65.99,,,45,,,,
4/15/2020,59.9,17.56,,,65.99,,,45,,,,
4/16/2020,59.9,17.56,,,65.99,,,45,,,,
4/17/2020,59.9,17.56,,,65.99,,,45,,,,
4/18/2020,59.9,17.56,,,65.99,,,45,,,,
4/19/2020,59.9,17.56,,,65.99,,,45,,,,
4/20/2020,59.9,17.56,,,65.99,,,45,,,,
4/21/2020,59.9,64.99,,,65.99,,,45,,,,
4/22/2020,59.9,64.99,,,65.99,,,45,,,,
4/23/2020,59.9,64.99,,,65.99,,,45,,,,
4/24/2020,59.9,64.99,,,65.99,,,45,,,,
4/25/2020,59.9,64.99,,,65.99,,,45,,,,
4/26/2020,59.9,64.99,,,65.99,,,45,,47.64666667,,
4/27/2020,59.9,64.99,,,65.99,,,45,,47.64666667,53.75,
4/28/2020,59.9,64.99,,,65.99,,,45,,47.64666667,53.75,
4/29/2020,59.9,64.99,,,65.99,,,45,,47.64666667,53.75,
4/30/2020,59.9,64.99,,,65.99,,,45,,47.64666667,53.75,
5/1/2020,59.9,64.99,,24.99,55.99,44.5,,45,,47.64666667,53.75,
5/2/2020,59.9,64.99,,24.99,55.99,44.5,,45,,47.64666667,53.75,
5/3/2020,59.9,64.99,,24.99,55.99,44.5,,45,,47.64666667,53.75,
5/4/2020,59.9,64.99,9.98,24.99,50.49,44.5,,45,,47.64666667,53.75,
5/5/2020,59.9,64.99,9.98,24.99,50.49,44.5,11.99,45,,47.64666667,53.75,
5/6/2020,59.9,64.99,9.98,24.99,50.49,44.5,11.99,45,,47.64666667,53.75,
5/7/2020,59.9,64.99,9.98,24.99,50.49,44.5,11.99,45,,47.64666667,53.75,
5/8/2020,59.9,64.99,9.98,24.99,50.49,44.5,11.99,42.88,34.5,47.64666667,53.75,
5/9/2020,59.9,64.99,9.98,24.99,50.49,44.5,11.99,42.88,34.5,47.64666667,53.75,
5/10/2020,59.9,64.99,9.98,24.99,50.49,44.5,11.99,42.88,47.21,47.64666667,53.75,34.99
5/11/2020,59.9,64.99,11.645,24.99,50.49,44.5,11.99,42.88,49.586,47.64666667,53.75,34.99
